phi,sigma,total_time,max_ac225_yield,time_to_peak
24709805756363.215,1e-24,162.05859972104645,1.0543437536096201e+18,162.05859972104645
358764676558710.56,1e-24,486.19494876987403,8.485482456064387e+19,486.19494876987403
100341912050426.42,1e-24,80.50977625011288,1.2011855073715873e+18,80.50977625011288
10662832214911.586,1e-24,122.53145469943908,2.7668383955145984e+17,122.53145469943908
18350353528904.723,1e-24,342.05275007030014,2.6521315654081915e+18,342.05275007030014
17525281770493.791,1e-24,258.1016664941102,1.636253177835511e+18,258.1016664941102
244638537225336.25,1e-24,294.74713851824214,2.8177796032966316e+19,294.74713851824214
25092925853436.2,1e-24,404.02101782930873,4.617378225712625e+18,404.02101782930873
269658589934861.34,1e-24,372.1021619186155,4.410649155950395e+19,372.1021619186155
18285864745654.277,1e-24,70.63936378866886,1.7118022272227808e+17,70.63936378866886
716349730787764.2,1e-24,204.8133149742209,4.568554175662131e+19,204.8133149742209
39985026074702.7,1e-24,249.40618222225132,3.532314368779114e+18,249.40618222225132
211703688868765.0,1e-24,478.25539595301524,4.901001122850924e+19,478.25539595301524
37401795710592.234,1e-24,463.1561303628933,8.299826755070165e+18,463.1561303628933
11212926690611.28,1e-24,282.0470407401441,1.2056076871731046e+18,282.0470407401441
185331919316520.94,1e-24,61.88972783786912,1.350444235209987e+18,61.88972783786912
19084430037069.426,1e-24,215.3660164649889,1.324345674747889e+18,215.3660164649889
855980407586345.8,1e-24,302.0608510848427,1.0238740774544097e+20,302.0608510848427
734592420844980.9,1e-24,404.13684865035566,1.3517328363212384e+20,404.13684865035566
86052442761689.44,1e-24,394.53409013357185,1.5310669003092376e+19,394.53409013357185
10856093321249.957,1e-24,63.48055841521012,8.301358088504605e+16,63.48055841521012
455887022735000.4,1e-24,400.44037327932926,8.282129460918775e+19,400.44037327932926
29193185301288.836,1e-24,270.07709939353623,2.930656346401175e+18,270.07709939353623
162941474261123.75,1e-24,435.19208735024546,3.323934545986556e+19,435.19208735024546
160773443851104.34,1e-24,212.16006894410336,1.0880086022864855e+19,212.16006894410336
56023222583431.16,1e-24,218.68222232301983,3.9879205050924227e+18,218.68222232301983
201308471419686.66,1e-24,435.0704095586392,4.104936350094297e+19,435.0704095586392
80871177050150.34,1e-24,131.44138584616547,2.381197163159962e+18,131.44138584616547
29738888047659.812,1e-24,375.5469973192887,4.930182978737187e+18,375.5469973192887
429672468431212.44,1e-24,61.586259128521235,3.101676633545945e+18,61.586259128521235
13586816623141.072,1e-24,301.2724952406614,1.6191784439308708e+18,301.2724952406614
19604081005701.188,1e-24,414.0854533236072,3.7339848014684324e+18,414.0854533236072
41751237059582.12,1e-24,80.4972471558599,4.996582368478442e+17,80.4972471558599
694929815149220.6,1e-24,91.1105441402863,1.0475674268309266e+19,91.1105441402863
37105660330414.17,1e-24,85.27056364410873,4.945296181754465e+17,85.27056364410873
17020806219363.059,1e-24,20.36252800485562,1.4348994088324104e+16,20.36252800485562
12905974965020.486,1e-24,95.57432075856782,2.125903034962321e+17,95.57432075856782
12786858675917.34,1e-24,299.6604698943759,1.5112414948060887e+18,299.6604698943759
229841820870733.88,1e-24,202.87892384769384,1.4427502592006701e+19,202.87892384769384
43249609830940.73,1e-24,257.21785614089276,4.015762533408152e+18,257.21785614089276
562354124129789.3,1e-24,427.05449714288096,1.1175548087472769e+20,427.05449714288096
12216593522584.469,1e-24,98.9342207022968,2.144899226464098e+17,98.9342207022968
29750189897770.465,1e-24,132.19991215778379,8.850679663636861e+17,132.19991215778379
138824239648548.97,1e-24,213.9685885945642,9.52908473337687e+18,213.9685885945642
12546085412795.484,1e-24,193.07092784519008,7.24147993802623e+17,193.07092784519008
111559330027602.72,1e-24,59.819232422820825,7.619262362467153e+17,59.819232422820825
464426623112669.3,1e-24,35.461314567901084,1.158945028635488e+18,35.461314567901084
707430431713774.9,1e-24,58.565439374139,4.640254095810259e+18,58.565439374139
486575125346468.44,1e-24,452.3000405245324,1.045693211084273e+20,452.3000405245324
910209494088075.9,1e-24,402.9926813340608,1.668046876603803e+20,402.9926813340608
362205534078754.8,1e-24,324.81680523781836,4.8427701958838166e+19,324.81680523781836
361403795418343.94,1e-24,75.93058212244208,3.876179224125154e+18,75.93058212244208
118069050825185.83,1e-24,261.9692063933031,1.128945943955658e+19,261.9692063933031
518972431595070.25,1e-24,236.7716891408228,4.211715654726279e+19,236.7716891408228
58908639420866.15,1e-24,323.38600290618393,7.82475166254985e+18,323.38600290618393
34113527906093.375,1e-24,78.48652136743887,3.893542374327953e+17,78.48652136743887
90313889882383.14,1e-24,214.27579061149365,6.214231687808537e+18,214.27579061149365
29183668336893.902,1e-24,190.08078695641274,1.6402371767731937e+18,190.08078695641274
54048656075338.55,1e-24,170.47282656214728,2.51871599727063e+18,170.47282656214728
57402150030759.914,1e-24,346.01423927341324,8.43944088418068e+18,346.01423927341324
39242164063809.516,1e-24,474.94038409051683,9.002999160921927e+18,474.94038409051683
680293057716433.4,1e-24,245.6461098670385,5.8622178661516e+19,245.6461098670385
45365156141843.12,1e-24,272.36304701670156,4.615512192950608e+18,272.36304701670156
497875754480353.75,1e-24,329.76779687444997,6.8101991580024545e+19,329.76779687444997
