time_h,N_Ra226,N_Ac225
146.4,6.0216390575019444e+23,2.5840344665393897e+19
146.8,6.021638071349892e+23,2.589693062723705e+19
147.20000000000002,6.021637085198e+23,2.595345071539571e+19
147.6,6.0216360990462707e+23,2.6009905006539203e+19
148.0,6.021635112894702e+23,2.6066293577247605e+19
148.4,6.021634126743295e+23,2.6122616504011858e+19
148.8,6.02163314059205e+23,2.6178873863233868e+19
149.20000000000002,6.021632154440966e+23,2.6235065731226616e+19
149.6,6.021631168290044e+23,2.6291192184214245e+19
150.0,6.021630182139283e+23,2.6347253298332193e+19
150.4,6.021629195988684e+23,2.640324914962726e+19
150.8,6.021628209838246e+23,2.645917981405774e+19
151.20000000000002,6.0216272236879694e+23,2.6515045367493493e+19
151.6,6.021626237537855e+23,2.6570845885716087e+19
152.0,6.021625251387902e+23,2.662658144441887e+19
152.4,6.02162426523811e+23,2.668225211920708e+19
152.8,6.02162327908848e+23,2.6737857985597944e+19
153.20000000000002,6.021622292939011e+23,2.6793399119020794e+19
153.60000000000002,6.0216213067897034e+23,2.684887559481715e+19
154.0,6.021620320640558e+23,2.690428748824083e+19
154.4,6.021619334491573e+23,2.6959634874458063e+19
154.8,6.0216183483427504e+23,2.7014917828547568e+19
155.20000000000002,6.021617362194089e+23,2.7070136425500668e+19
155.60000000000002,6.021616376045589e+23,2.712529074022139e+19
156.0,6.021615389897251e+23,2.7180380847526568e+19
156.4,6.0216144037490744e+23,2.7235406822145946e+19
156.8,6.021613417601059e+23,2.729036873872226e+19
157.20000000000002,6.021612431453205e+23,2.7345266671811363e+19
157.60000000000002,6.021611445305513e+23,2.7400100695882314e+19
158.0,6.021610459157982e+23,2.745487088531747e+19
158.4,6.021609473010613e+23,2.7509577314412605e+19
158.8,6.0216084868634053e+23,2.7564220057369256e+19
159.20000000000002,6.021607500716359e+23,2.761879918833016e+19
159.60000000000002,6.021606514569474e+23,2.767331478132453e+19
160.0,6.021605528422751e+23,2.7727766910303244e+19
160.4,6.021604542276189e+23,2.7782155649131102e+19
160.8,6.021603556129789e+23,2.7836481071586935e+19
161.20000000000002,6.02160256998355e+23,2.789074325136369e+19
161.60000000000002,6.021601583837473e+23,2.7944942262068543e+19
162.0,6.021600597691557e+23,2.7999078177223004e+19
162.4,6.021599611545803e+23,2.8053151070263005e+19
162.8,6.02159862540021e+23,2.8107161014538998e+19
163.20000000000002,6.021597639254779e+23,2.816110808331606e+19
163.60000000000002,6.021596653109509e+23,2.8214992349773988e+19
164.0,6.0215956669644005e+23,2.8268813887007404e+19
164.4,6.021594680819454e+23,2.8322572768025862e+19
164.8,6.021593694674668e+23,2.837626906575391e+19
165.20000000000002,6.0215927085300445e+23,2.842990285303124e+19
165.60000000000002,6.0215917223855824e+23,2.848347420261274e+19
166.0,6.0215907362412814e+23,2.8536983187168625e+19
166.4,6.021589750097142e+23,2.8590429879284523e+19
166.8,6.0215887639531645e+23,2.864381435146157e+19
167.20000000000002,6.021587777809348e+23,2.8697136676116505e+19
167.60000000000002,6.021586791665693e+23,2.875039692558178e+19
168.0,6.0215858055222e+23,2.8803595172105654e+19
168.4,6.021584819378868e+23,2.8856731487852286e+19
168.8,6.021583833235698e+23,2.8909805944901833e+19
169.20000000000002,6.021582847092689e+23,2.896281861525055e+19
169.60000000000002,6.021581860949842e+23,2.901576957081089e+19
170.0,6.0215808748071557e+23,2.906865888341158e+19
170.4,6.021579888664632e+23,2.9121486624797757e+19
170.8,6.021578902522269e+23,2.9174252866631037e+19
171.20000000000002,6.0215779163800676e+23,2.9226957680489603e+19
171.60000000000002,6.0215769302380274e+23,2.9279601137868337e+19
172.0,6.021575944096149e+23,2.9332183310178877e+19
172.4,6.0215749579544324e+23,2.9384704268749746e+19
172.8,6.0215739718128774e+23,2.9437164084826423e+19
173.20000000000002,6.0215729856714836e+23,2.9489562829571457e+19
173.60000000000002,6.021571999530251e+23,2.9541900574064554e+19
174.0,6.0215710133891804e+23,2.9594177389302665e+19
174.4,6.021570027248271e+23,2.964639334620011e+19
174.8,6.021569041107523e+23,2.9698548515588633e+19
175.20000000000002,6.021568054966937e+23,2.975064296821754e+19
175.60000000000002,6.021567068826512e+23,2.9802676774753755e+19
176.0,6.021566082686248e+23,2.9854650005781942e+19
176.4,6.021565096546147e+23,2.9906562731807945e+19
176.8,6.0215641104062066e+23,2.995841502325618e+19
177.20000000000002,6.0215631242664274e+23,3.001020695046559e+19
177.60000000000002,6.0215621381268106e+23,3.006193858369325e+19
178.0,6.021561151987355e+23,3.011360999311445e+19
178.4,6.02156016584806e+23,3.016522124882282e+19
178.8,6.021559179708927e+23,3.0216772420830384e+19
179.20000000000002,6.021558193569956e+23,3.0268263579067687e+19
179.60000000000002,6.0215572074311464e+23,3.031969479338387e+19
180.0,6.021556221292498e+23,3.037106613354678e+19
180.4,6.0215552351540105e+23,3.0422377669243048e+19
180.8,6.0215542490156855e+23,3.0473629470078198e+19
181.20000000000002,6.0215532628775216e+23,3.0524821605576733e+19
181.60000000000002,6.0215522767395194e+23,3.057595414518223e+19
182.0,6.021551290601678e+23,3.0627027158257422e+19
182.4,6.021550304463999e+23,3.067804071408433e+19
182.8,6.021549318326481e+23,3.0728994881864307e+19
183.20000000000002,6.0215483321891246e+23,3.0779889730718163e+19
183.60000000000002,6.02154734605193e+23,3.083072532968625e+19
184.0,6.0215463599148966e+23,3.0881501747728548e+19
184.4,6.0215453737780246e+23,3.093221905372478e+19
184.8,6.021544387641314e+23,3.098287731647448e+19
185.20000000000002,6.021543401504765e+23,3.1033476604697092e+19
185.60000000000002,6.021542415368378e+23,3.1084016987032072e+19
186.0,6.021541429232152e+23,3.1134498532038975e+19
186.4,6.0215404430960875e+23,3.118492130819755e+19
186.8,6.0215394569601845e+23,3.1235285383907828e+19
187.20000000000002,6.021538470824443e+23,3.128559082749021e+19
187.60000000000002,6.0215374846888636e+23,3.133583770718557e+19
188.0,6.021536498553445e+23,3.1386026091155345e+19
188.4,6.0215355124181883e+23,3.1436156047481627e+19
188.8,6.0215345262830926e+23,3.148622764416724e+19
