phi,energy,time,N_Ra226,N_Ra225,N_Ac225
71643976723629.2,2732.2628069057046,60.17076328657682,6.021981810025867e+23,2.668312006535593e+16,1496735220559066.0
497885787749962.94,1582.7874162120872,94.69146443972765,6.021967757114092e+23,3.711033024913504e+17,3.2039610914347756e+16
60459211945109.02,1759.8582390641639,250.9996489719254,6.021924060980758e+23,9.818278242173693e+16,2.033944353094399e+16
27615252863884.312,428.1894816178597,172.70945104155803,6.021947810432105e+23,6.7141418271111816e+16,1.0058054025900148e+16
306123470846170.8,46.88883915854478,148.1130405377774,6.021933223728844e+23,1.9729456028247104e+18,2.5747275516998726e+17
31066172761321.332,14.95204870801654,164.73079301062324,6.02194643847073e+23,3.8835691999853594e+17,5.577275950255498e+16
85806037929519.61,12.879690042808209,30.096764585944147,6.021988576372514e+23,2.396026138578128e+17,6854215827725580.0
361183392297450.1,61981.902294727144,161.0457519331387,6.021951270812839e+23,6.87912499463124e+16,9680984735750086.0
44072034871972.55,53540.47830489351,365.2177140745068,6.021891070786846e+23,1.708803922230243e+16,4794446480662134.0
359636577737043.56,6666.257813316343,483.4814426896793,6.021848814016497e+23,4.7379265557822746e+17,1.6356736416558266e+17
589239381309188.8,962930.7707192403,107.50136826585431,6.021967785537568e+23,1.997367692944253e+16,1941706719859736.0
585266230236055.1,151.808565362479,78.15655717813968,6.0219640143140867e+23,1.1808685192865628e+18,8.504776977995216e+16
204759236971407.88,0.07451971284467233,351.64255831600786,6.020991320038352e+23,6.5546446148170244e+19,1.7858063889679772e+19
134365499341130.77,0.05919679476944411,213.2158271158273,6.02153294456907e+23,3.3059518960657744e+19,5.958571705812998e+18
69332602895628.78,54460.71077865856,395.197283105718,6.021881984779208e+23,2.8115470172419056e+16,8378254788681104.0
938252006062303.4,0.047306471631932634,161.02377892472555,6.0195715508139193e+23,2.0448258573614013e+20,2.8775226617452896e+19
225787062098434.8,0.33823868160965376,308.21002554917493,6.021498140653744e+23,3.0877363549508272e+19,7.576591374779347e+18
203574930804171.1,60.745532494366635,280.807628549285,6.021891288963528e+23,1.9388312305558013e+18,4.409744989311881e+17
42356370540927.164,9.289648434097318,315.27427264775764,6.0218911544990564e+23,1.1237080909834029e+18,2.8080121583241494e+17
15892001649431.627,0.07969966036696083,411.72395028493446,6.021798025417599e+23,5.473057594850953e+18,1.681820343942249e+18
634387631892260.5,11724.237937759552,139.22295747557837,6.0219557702852984e+23,2.4504872746096016e+17,3.0231058009899256e+16
185928346248641.9,24.99319088667979,39.19690687650255,6.021983337815435e+23,4.811777578435474e+17,1.7821841301358092e+16
177754486233942.44,0.814493149999327,416.81332458457933,6.0215945616921955e+23,1.930301545236416e+19,5.986097384178815e+18
665368335219781.9,14510.55118093109,187.57740218109174,6.021940624218987e+23,2.9774828599876736e+17,4.798724057144702e+16
16222510895471.516,69437.82731938668,203.92728919764465,6.0219392668572433e+23,3554645563900376.0,616387394222708.6
111520937454968.2,0.0349947913858809,384.3880350782128,6.021100185365268e+23,5.537459749049066e+19,1.6158516132935731e+19
17683734078847.266,9452.248866036176,68.85621266742756,6.021979464937445e+23,4018856714905757.5,256531026887575.88
536553452217900.3,2.3756056326083965,328.9846769306227,6.021509543599401e+23,2.902405249950855e+19,7.503501145166051e+18
70272599213223.74,28734.607675287654,118.94587887982763,6.0219644318236276e+23,1.5095290300462944e+16,1611820707625423.8
90680846361432.06,34.51018501848372,488.69681865269155,6.021828704313659e+23,1.6711323610442493e+18,5.812863637826368e+17
62619036050271.51,9448.552652410659,477.13726921115574,6.021856948166664e+23,6.8740857366049496e+16,2.3511358929119332e+16
29401621919708.28,0.5707877917620913,286.3618602521903,6.021876577738796e+23,2.931486028988431e+18,6.775621770832074e+17
54772241166966.16,0.10986284723183237,162.83182035068,6.0218593082999155e+23,7.909462670299212e+18,1.1241638846102028e+18
21790216829520.51,2273.40091216039,323.2557968781193,6.021903290841816e+23,3.7627127109420184e+16,9592485133997000.0
173357115951848.7,6927.957279893009,87.09092809859182,6.021973459328363e+23,5.7211450834859704e+16,4565176538467596.0
21194344566643.57,10336.203574039406,49.68685306860214,6.021985177302379e+23,3384917936571399.0,157850677728123.47
282569069347828.75,4385.730269128894,142.1944419911587,6.021955602249903e+23,1.8176972563546838e+17,2.2859632175427644e+16
41764482028650.305,0.08215657087354221,245.00886748939507,6.0218047148364815e+23,9.741413641303855e+18,1.9773361088173847e+18
159675825780539.2,102.03956721928458,141.38423768602624,6.0219502623978135e+23,6.70064092334317e+17,8.383152849326784e+16
810572727377875.4,391146.7320300243,176.52747760731958,6.0219466799892304e+23,6.641424601672528e+16,1.0144356955569834e+16
970145672471931.1,267355.87585320225,182.7334330375151,6.0219444420731555e+23,9.896371153598707e+16,1.5585787315031374e+16
104342373049187.05,7577.701516510045,340.10944039194686,6.0218973841360385e+23,1.0232995021084115e+17,2.7159618126946616e+16
13854190702873.041,7.196282039079831,388.0618965410835,6.021877641118824e+23,4.828257145561048e+17,1.4190927887511664e+17
