epoch,phase,data_mse,physics_mse,supervised_total,unsupervised_total,grad_norm
44,pretrain,0.0,2.9891427019814212e-05,0.0,6.004168674044454,4.075533390045166
45,pretrain,0.0,0.011711876092922848,0.0,16.352822158235842,21.685100555419922
46,pretrain,0.0,0.00015236115701124244,0.0,5.350412543400784,5.91342306137085
47,pretrain,0.0,0.0008684650275843161,0.0,18.230206265815855,18.348464965820312
48,pretrain,0.0,0.012452274071303886,0.0,9.54077835846054,9.26522445678711
49,pretrain,0.0,8.806677236849774e-05,0.0,14.729898460756994,15.580622673034668
50,pretrain,0.0,0.00022322582437192957,0.0,8.255111597096278,9.377985000610352
51,pretrain,0.0,0.014154725070574409,0.0,12.465848194489656,14.547998428344727
52,pretrain,0.0,0.00015448502488952785,0.0,13.782046005235731,19.375356674194336
53,pretrain,0.0,0.013405427411766853,0.0,12.60300582598158,18.719709396362305
54,pretrain,0.0,0.011688628476920288,0.0,14.480951012617165,18.53933334350586
55,pretrain,0.0,0.001751083143031488,0.0,15.372249485038589,40.080047607421875
56,pretrain,0.0,0.0002307744548026735,0.0,12.433753973837526,42.80508804321289
57,pretrain,0.0,0.0005910673985349861,0.0,7.802420395152334,6.6393609046936035
58,pretrain,0.0,0.0004066965739238705,0.0,18.77313694336547,10.588172912597656
59,pretrain,0.0,0.02850757380279447,0.0,12.11678322818153,24.54354476928711
60,pretrain,0.0,0.003960432012491661,0.0,10.194521629005875,23.320476531982422
61,pretrain,0.0,0.00012193977149939068,0.0,7.333705115420966,7.6123366355896
62,pretrain,0.0,0.0001730070863707521,0.0,16.686843048867946,22.763349533081055
63,pretrain,0.0,0.02691645074876499,0.0,9.955471611745983,23.904550552368164
64,pretrain,0.0,0.009585703871357956,0.0,12.6522090208049,12.048858642578125
65,pretrain,0.0,2.8700533653203326e-05,0.0,10.942921180844296,18.008338928222656
66,pretrain,0.0,0.0018823120289417725,0.0,10.971248813143033,12.62362289428711
67,pretrain,0.0,0.002316625845046953,0.0,8.219156790014967,10.755372047424316
68,pretrain,0.0,6.737622266441063e-05,0.0,14.02196056913836,20.158939361572266
69,pretrain,0.0,0.026790320167098657,0.0,18.872221901293294,21.98849868774414
70,pretrain,0.0,0.007041354470832581,0.0,10.371394539694261,12.938212394714355
71,pretrain,0.0,5.0278392026303945e-05,0.0,10.177311709276347,17.539939880371094
72,pretrain,0.0,0.0005168887809067465,0.0,15.476769835379875,16.8853702545166
73,pretrain,0.0,0.000655866942880261,0.0,10.785178048873934,6.708044528961182
74,pretrain,0.0,0.00015391911627858694,0.0,8.797301935746388,14.018604278564453
75,pretrain,0.0,0.01033170833662151,0.0,10.929863694251331,14.949398040771484
76,pretrain,0.0,0.0016724238777064558,0.0,6.566716170536662,10.069757461547852
77,pretrain,0.0,0.026775095279233566,0.0,12.286399972371632,33.56728744506836
